Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL617,"Rosetta (Merck) Genome Tiling Experiment PatternID 312","spotted oligonucleotide","Homo sapiens",22123,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL618,"Rosetta (Merck) Genome Tiling Experiment PatternID 313","spotted oligonucleotide","Homo sapiens",19709,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL619,"Rosetta (Merck) Genome Tiling Experiment PatternID 314","spotted oligonucleotide","Homo sapiens",22223,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL620,"Rosetta (Merck) Genome Tiling Experiment PatternID 315","spotted oligonucleotide","Homo sapiens",19606,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL621,"Rosetta (Merck) Genome Tiling Experiment PatternID 316","spotted oligonucleotide","Homo sapiens",20131,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL622,"Rosetta (Merck) Genome Tiling Experiment PatternID 317","spotted oligonucleotide","Homo sapiens",21757,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL623,"Rosetta (Merck) Genome Tiling Experiment PatternID 318","spotted oligonucleotide","Homo sapiens",21480,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL624,"Rosetta (Merck) Genome Tiling Experiment PatternID 319","spotted oligonucleotide","Homo sapiens",21635,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL625,"Rosetta (Merck) Genome Tiling Experiment PatternID 320","spotted oligonucleotide","Homo sapiens",21513,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL626,"Rosetta (Merck) Genome Tiling Experiment PatternID 321","spotted oligonucleotide","Homo sapiens",20487,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL627,"Rosetta (Merck) Genome Tiling Experiment PatternID 322","spotted oligonucleotide","Homo sapiens",21480,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL628,"Rosetta (Merck) Genome Tiling Experiment PatternID 323","spotted oligonucleotide","Homo sapiens",21635,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL629,"Rosetta (Merck) Genome Tiling Experiment PatternID 324","spotted oligonucleotide","Homo sapiens",22123,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL630,"Rosetta (Merck) Genome Tiling Experiment PatternID 325","spotted oligonucleotide","Homo sapiens",19709,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL631,"Rosetta (Merck) Genome Tiling Experiment PatternID 326","spotted oligonucleotide","Homo sapiens",22223,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL632,"Rosetta (Merck) Genome Tiling Experiment PatternID 327","spotted oligonucleotide","Homo sapiens",21480,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL633,"Rosetta (Merck) Genome Tiling Experiment PatternID 328","spotted oligonucleotide","Homo sapiens",22223,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL634,"Rosetta (Merck) Genome Tiling Experiment PatternID 331","spotted oligonucleotide","Homo sapiens",19606,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL635,"Rosetta (Merck) Genome Tiling Experiment PatternID 332","spotted oligonucleotide","Homo sapiens",20131,6,1,"Stephen W Edwards","Dec 17, 2003"
GPL636,"Rosetta (Merck) Genome Tiling Experiment PatternID 333","spotted oligonucleotide","Homo sapiens",21757,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL637,"Rosetta (Merck) Genome Tiling Experiment PatternID 334","spotted oligonucleotide","Homo sapiens",21513,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL638,"Rosetta (Merck) Genome Tiling Experiment PatternID 335","spotted oligonucleotide","Homo sapiens",22123,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL639,"Rosetta (Merck) Genome Tiling Experiment PatternID 336","spotted oligonucleotide","Homo sapiens",20487,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL640,"Rosetta (Merck) Genome Tiling Experiment PatternID 337","spotted oligonucleotide","Homo sapiens",21635,8,1,"Stephen W Edwards","Dec 17, 2003"
GPL641,"Rosetta (Merck) Genome Tiling Experiment PatternID 801","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL642,"Rosetta (Merck) Genome Tiling Experiment PatternID 802","spotted oligonucleotide","Homo sapiens",21170,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL643,"Rosetta (Merck) Genome Tiling Experiment PatternID 803","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL644,"Rosetta (Merck) Genome Tiling Experiment PatternID 804","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL645,"Rosetta (Merck) Genome Tiling Experiment PatternID 805","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL646,"Rosetta (Merck) Genome Tiling Experiment PatternID 806","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL647,"Rosetta (Merck) Genome Tiling Experiment PatternID 807","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL648,"Rosetta (Merck) Genome Tiling Experiment PatternID 808","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL649,"Rosetta (Merck) Genome Tiling Experiment PatternID 809","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL650,"Rosetta (Merck) Genome Tiling Experiment PatternID 810","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL651,"Rosetta (Merck) Genome Tiling Experiment PatternID 811","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL652,"Rosetta (Merck) Genome Tiling Experiment PatternID 812","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL653,"Rosetta (Merck) Genome Tiling Experiment PatternID 813","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL654,"Rosetta (Merck) Genome Tiling Experiment PatternID 814","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL655,"Rosetta (Merck) Genome Tiling Experiment PatternID 815","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL656,"Rosetta (Merck) Genome Tiling Experiment PatternID 816","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL657,"Rosetta (Merck) Genome Tiling Experiment PatternID 817","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL658,"Rosetta (Merck) Genome Tiling Experiment PatternID 818","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL659,"Rosetta (Merck) Genome Tiling Experiment PatternID 819","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL660,"Rosetta (Merck) Genome Tiling Experiment PatternID 820","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL661,"Rosetta (Merck) Genome Tiling Experiment PatternID 821","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL662,"Rosetta (Merck) Genome Tiling Experiment PatternID 822","spotted oligonucleotide","Homo sapiens",21914,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL663,"Rosetta (Merck) Genome Tiling Experiment PatternID 823","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL664,"Rosetta (Merck) Genome Tiling Experiment PatternID 824","spotted oligonucleotide","Homo sapiens",22044,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL665,"Rosetta (Merck) Genome Tiling Experiment PatternID 825","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL666,"Rosetta (Merck) Genome Tiling Experiment PatternID 826","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL667,"Rosetta (Merck) Genome Tiling Experiment PatternID 827","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL668,"Rosetta (Merck) Genome Tiling Experiment PatternID 828","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL669,"Rosetta (Merck) Genome Tiling Experiment PatternID 829","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL670,"Rosetta (Merck) Genome Tiling Experiment PatternID 830","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL671,"Rosetta (Merck) Genome Tiling Experiment PatternID 831","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL672,"Rosetta (Merck) Genome Tiling Experiment PatternID 832","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL673,"Rosetta (Merck) Genome Tiling Experiment PatternID 833","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL674,"Rosetta (Merck) Genome Tiling Experiment PatternID 834","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL675,"Rosetta (Merck) Genome Tiling Experiment PatternID 835","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL676,"Rosetta (Merck) Genome Tiling Experiment PatternID 836","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL677,"Rosetta (Merck) Genome Tiling Experiment PatternID 837","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL678,"Rosetta (Merck) Genome Tiling Experiment PatternID 838","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL679,"Rosetta (Merck) Genome Tiling Experiment PatternID 839","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL680,"Rosetta (Merck) Genome Tiling Experiment PatternID 840","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL681,"Rosetta (Merck) Genome Tiling Experiment PatternID 841","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL682,"Rosetta (Merck) Genome Tiling Experiment PatternID 842","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL683,"Rosetta (Merck) Genome Tiling Experiment PatternID 843","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL684,"Rosetta (Merck) Genome Tiling Experiment PatternID 844","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL685,"Rosetta (Merck) Genome Tiling Experiment PatternID 845","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL686,"Rosetta (Merck) Genome Tiling Experiment PatternID 846","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL687,"Rosetta (Merck) Genome Tiling Experiment PatternID 847","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL688,"Rosetta (Merck) Genome Tiling Experiment PatternID 848","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL689,"Rosetta (Merck) Genome Tiling Experiment PatternID 849","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL690,"Rosetta (Merck) Genome Tiling Experiment PatternID 850","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL691,"Rosetta (Merck) Genome Tiling Experiment PatternID 851","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL692,"Rosetta (Merck) Genome Tiling Experiment PatternID 852","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL693,"Rosetta (Merck) Genome Tiling Experiment PatternID 853","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL694,"Rosetta (Merck) Genome Tiling Experiment PatternID 854","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL695,"Rosetta (Merck) Genome Tiling Experiment PatternID 855","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL696,"Rosetta (Merck) Genome Tiling Experiment PatternID 856","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL697,"Rosetta (Merck) Genome Tiling Experiment PatternID 857","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL698,"Rosetta (Merck) Genome Tiling Experiment PatternID 858","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL699,"Rosetta (Merck) Genome Tiling Experiment PatternID 859","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL700,"Rosetta (Merck) Genome Tiling Experiment PatternID 860","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL701,"Rosetta (Merck) Genome Tiling Experiment PatternID 861","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL702,"Rosetta (Merck) Genome Tiling Experiment PatternID 862","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL703,"Rosetta (Merck) Genome Tiling Experiment PatternID 863","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL704,"Rosetta (Merck) Genome Tiling Experiment PatternID 864","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL705,"Rosetta (Merck) Genome Tiling Experiment PatternID 865","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL706,"Rosetta (Merck) Genome Tiling Experiment PatternID 866","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL707,"Rosetta (Merck) Genome Tiling Experiment PatternID 867","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL708,"Rosetta (Merck) Genome Tiling Experiment PatternID 868","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL709,"Rosetta (Merck) Genome Tiling Experiment PatternID 869","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL710,"Rosetta (Merck) Genome Tiling Experiment PatternID 870","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL711,"Rosetta (Merck) Genome Tiling Experiment PatternID 871","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL712,"Rosetta (Merck) Genome Tiling Experiment PatternID 872","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL713,"Rosetta (Merck) Genome Tiling Experiment PatternID 873","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL714,"Rosetta (Merck) Genome Tiling Experiment PatternID 874","spotted oligonucleotide","Homo sapiens",21478,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL715,"Rosetta (Merck) Genome Tiling Experiment PatternID 875","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL716,"Rosetta (Merck) Genome Tiling Experiment PatternID 876","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL717,"Rosetta (Merck) Genome Tiling Experiment PatternID 877","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL718,"Rosetta (Merck) Genome Tiling Experiment PatternID 878","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL719,"Rosetta (Merck) Genome Tiling Experiment PatternID 879","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL720,"Rosetta (Merck) Genome Tiling Experiment PatternID 880","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL721,"Rosetta (Merck) Genome Tiling Experiment PatternID 881","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL722,"Rosetta (Merck) Genome Tiling Experiment PatternID 882","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL723,"Rosetta (Merck) Genome Tiling Experiment PatternID 883","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL724,"Rosetta (Merck) Genome Tiling Experiment PatternID 884","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL725,"Rosetta (Merck) Genome Tiling Experiment PatternID 885","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL726,"Rosetta (Merck) Genome Tiling Experiment PatternID 886","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL727,"Rosetta (Merck) Genome Tiling Experiment PatternID 887","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL728,"Rosetta (Merck) Genome Tiling Experiment PatternID 888","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL729,"Rosetta (Merck) Genome Tiling Experiment PatternID 889","spotted oligonucleotide","Homo sapiens",21632,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL730,"Rosetta (Merck) Genome Tiling Experiment PatternID 890","spotted oligonucleotide","Homo sapiens",21070,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL731,"Rosetta (Merck) Genome Tiling Experiment PatternID 891","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL732,"Rosetta (Merck) Genome Tiling Experiment PatternID 892","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL733,"Rosetta (Merck) Genome Tiling Experiment PatternID 893","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL734,"Rosetta (Merck) Genome Tiling Experiment PatternID 894","spotted oligonucleotide","Homo sapiens",21806,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL735,"Rosetta (Merck) Genome Tiling Experiment PatternID 895","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL736,"Rosetta (Merck) Genome Tiling Experiment PatternID 896","spotted oligonucleotide","Homo sapiens",22120,3,1,"Stephen W Edwards","Dec 17, 2003"
GPL740,"GenomeWideEVG_MRK2200","spotted oligonucleotide","Homo sapiens",13604,30,1,"Stephen W Edwards","Dec 17, 2003"
GPL741,"GenomeWideEVG_MRK2201","spotted oligonucleotide","Homo sapiens",13749,30,1,"Stephen W Edwards","Dec 17, 2003"
GPL742,"GenomeWideEVG_MRK2202","spotted oligonucleotide","Homo sapiens",13644,30,1,"Stephen W Edwards","Dec 17, 2003"
GPL743,"GenomeWideEVG_MRK2203","spotted oligonucleotide","Homo sapiens",8949,30,1,"Stephen W Edwards","Dec 17, 2003"
GPL744,"GenomeWideEVG_MRK2204","spotted oligonucleotide","Homo sapiens",13712,30,1,"Stephen W Edwards","Dec 17, 2003"
GPL745,"GenomeWideEVG_MRK2205","spotted oligonucleotide","Homo sapiens",13734,30,1,"Stephen W Edwards","Dec 17, 2003"
GPL746,"GenomeWideEVG_MRK2206","spotted oligonucleotide","Homo sapiens",13829,30,1,"Stephen W Edwards","Dec 17, 2003"
GPL747,"GenomeWideEVG_MRK2207","spotted oligonucleotide","Homo sapiens",11162,30,1,"Stephen W Edwards","Dec 17, 2003"
GPL748,"GenomeWideEVG_MRK2208","spotted oligonucleotide","Homo sapiens",8814,30,1,"Stephen W Edwards","Dec 17, 2003"
GPL749,"GenomeWideEVG_MRK2209","spotted oligonucleotide","Homo sapiens",8783,27,1,"Stephen W Edwards","Dec 17, 2003"
GPL750,"GenomeWideEVG_MRK2210","spotted oligonucleotide","Homo sapiens",8746,30,1,"Stephen W Edwards","Dec 17, 2003"
GPL751,"GenomeWideEVG_MRK2211","spotted oligonucleotide","Homo sapiens",8927,30,1,"Stephen W Edwards","Dec 17, 2003"
GPL752,"GenomeWideEVG_MRK2212","spotted oligonucleotide","Homo sapiens",9097,30,1,"Stephen W Edwards","Dec 17, 2003"
GPL753,"GenomeWideEVG_MRK2213","spotted oligonucleotide","Homo sapiens",8649,28,1,"Stephen W Edwards","Dec 17, 2003"
GPL754,"GenomeWideEVG_MRK2214","spotted oligonucleotide","Homo sapiens",8743,30,1,"Stephen W Edwards","Dec 17, 2003"
GPL755,"GenomeWideEVG_MRK2215","spotted oligonucleotide","Homo sapiens",8799,30,1,"Stephen W Edwards","Dec 17, 2003"
GPL756,"GenomeWideEVG_MRK2216","spotted oligonucleotide","Homo sapiens",8995,30,1,"Stephen W Edwards","Dec 17, 2003"
